Timestamp,study,Journal,Study #,Start Date,End Date,Country,Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,ARDS (n),Mechanical Ventilation (n),ICU (n),Smokers (n),COPD (n),Cardiovascular disease (n),Diabetes (n),Testing,Method,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site,patients,Type,coinfection,secondary_infection,Were bacteria names specified?,Mycoplasm,Chlamydia,S aureus,S pneumo,Enterococcus faecium species?,Haemophilus species?,Pseudomonas,Klebsiella,E. coli,Acinetobacter,Enterobacter,Enterococcus spp,CNST,Citrobacter,Moraxella ,Stenotrophomonas,Serratia,Strep non-pna,Legionella,Proteus spp.,Other GN,Other GP,Other not reported,Other bacteria and their numbers?,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the studys target population a close representation of the national population in relation to relevant variables?,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3: Was some form of random selection used to select the sample, OR was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,quality score,bias,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),Measured both CoI and Secondary?,Number of Other immunomodulators?
04/08/2020 1:24,"Javanian M, 2020",Romanian journal of internal medicine,3673,25/02/2020,12/03/2020,Iran,Middle East,Retrospective Cohort,Hospital,100,,60.1,mean,49,All patients,4,43,,,12,20,37,unspecified,unspecified,Only co-infection referred to is Ventilator-associated pneumonia,Y,Respiratory,100,Secondary Infection,,13,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No or unclear,No or unclear,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,Yes,5,moderate,Y,,
17/06/2021 10:57,"Sepulveda J, 2020",Journal of Clinical Microbiology,3818,01/01/2020,31/03/2020,United States,North America,Retrospective Cohort,Hospital,4478,,,not reported,,All combined,,,,,,,,specified,culture,Blood cultures were labeled SARS-CoV-2 status positive if they were performed within 2 days of a positive SARS-CoV-2 RT-PCR result and considered positive for all subsequent blood cultures after a positive SARS-CoV-2 RT-PCR result.,Y,Blood,4478,Co-infection,170,,Yes,,,11,,1,,,6,10,,6,3,118,,1,,,8,,,5,29,,"CNST=118, Bacillus non anthracis=9, Coryne=5, Enterobacter=6, micrococcus 5, E faecalis=2, fusobacterium=2, lactobacillus =2, salmonella=2, Strep spp= 8, Actinomyces=1, Aeroccoccus=1, Comamonoas=1, Dolosigranulum=1, Globulicatella=1, Granulicatella=1, Kocuria=1, Moraxella=1, propionibacterium=1, Rothia=1,",,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,8,low,Yes,,
04/08/2020 2:42,"Lv Z, 2020",Microbes and infection,3908,04/02/2020,28/02/2020,China,Asia,Retrospective Cohort,Hospital,354,Hospitalized patients,62,median,179,All patients,,26,,,6,18,35,specified,culture,"Bronchoalveolar lavage fluids or blood were obtained for identification of possible causative bacteria or fungi. Routine bacteria
culture was performed independently in accordance with following
respiratory pathogenic microorganisms operating standards: the
samples were seeded on bacteriological media such as blood agar
plate, chocolate agar plates and blue agar plates using sterile wire
loops and incubated at 35 C for 72 h in a thermostatic incubator.",N,Respiratory and Blood,354,Co-infection,16,,Yes,1,,1,,1,,2,,5,5,,,1,,,1,,,,,,,,"Abaumanii =5 CNST=1, steno=1",,,,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,8,low,Y,,
04/08/2020 2:57,"Quartuccio L, 2020",Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,3920,29/02/2020,06/04/2020,Italy,Europe,Retrospective Cohort,Hospital,111,Toci case control,58.5,mean,34,All patients,,,27,,,,,unspecified,unspecified,"""superinfection""",N,Respiratory,111,Secondary Infection,,18,No,,,,,,,,,,,,,,,,,,,,,,,,,16,42,21,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Y,,
06/08/2020 0:27,"Garazzino S, 2020",Eurosurveillance,4669,25/03/2020,10/04/2020,Italy,Europe,Retrospective Cohort,Hospital,168,Children,5,mean,74,All patients,,2,2,,,,,unspecified,unspecified,"""bacterial coinfection w/ S. pneumo was documented""",N,Unclear,168,Co-infection,1,,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Y,,
05/08/2020 1:43,"Zangrillo A, 2020",Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine,5298,20/02/2020,02/04/2020,Italy,Europe,Case Series,Hospital ICU,73,Mechanically Ventilated ARDS,61,median,12,Critically Ill,73,73,73,1,,,10,unspecified,unspecified,,N,Respiratory and Blood,73,Secondary Infection,,36,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,No or unclear,6,moderate,Y,,
06/08/2020 0:44,"Morena V, 2020",European Journal of Internal Medicine,6548,10/03/2020,19/04/2020,Italy,Europe,Prospective Cohort,Hospital,51,toci,60,Median,11,All combined,,6,9,,5,25,6,specified,culture,". Bacteremia emerged in 14 patients (27%), 86% of whom were hospitalized in ICU, median time to event 11 days
Blood cultures gave a positive result in 31 episodes on 14 patients and
the most frequently isolated pathogens were Enterococcus spp. (8),
Carbapenemase-producing Klebsiella pneumoniae (5), extended spectrum beta-lactamase (ESBL)-producing Klebsiella pneumoniae (5),
Candida spp. (3), Coagulase-negative Staphylococci (4), methicillin-resistant Staphylococcus aureus (3), Pseudomonas aeruginosa (1), ESBL
producing E. coli (1), Enterobacter aerogenes (1). The median time from
tocilizumab administration to the bacteremic event was 11 days (IQR 9-
13).",N,Blood,51,Secondary Infection,,14,Yes,,,3,,,,1,10,1,,,8,4,,,,,,,,,,,Enterococcus spp 8 CNST 4,,51,39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Y,,
11/08/2020 0:23,"Campochiaro C, 2020",European Journal of Internal Medicine,6715,13/03/2020,16/04/2020,Italy,Europe,Retrospective Cohort,Hospital,65,Tocilizumab trial,62,I did the mean of the two medians provided (drug group vs non drug),9,Severe,,6,34,2,3,10,10,unspecified,unspecified,"Exclusion criteria were: evidence of concomitant
bacterial infection, history of diverticular disease, neutropenia < 1500
109 cells/L, concomitant use of other immunosuppressive biologic
drugs, baseline elevation of alanine aminotransferase (ALT) or aspartate aminotransferase (AST) levels > 5-fold the upper limit of the
normal range",N,Blood,65,Secondary Infection,,8,No,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,Yes,No or unclear,No or unclear,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Y,,
11/08/2020 0:41,"Li J, 2020",Biomarkers in medicine,6794,01/01/2020,20/02/2020,China,Asia,Retrospective Cohort,Hospital,134,,61,Median,59,All patients,62,46,59,22,,59,34,unspecified,unspecified,"The laboratory tests included liver function, kidney function, blood cell count, COVID-19 nucleic acid and tests for other respiratory viruses etc.",N,Unclear,134,Co-infection,15,,No,4,3,,,,,,,,,,,,,,,,,,,,,,8 non reported,,,131,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No,4,high,Y,,
05/08/2020 2:49,"Zhang G, 2020",Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,7998,02/01/2020,10/02/2020,China,Asia,Case Series,Hospital,221,,55,median,113,All patients,48,26,44,,6,22,22,specified,"culture, PCR","Respiratory specimens were tested for other respiratory viruses including influenza A (H1N1, H7N9) and B virus, respiratory syncytial virus, parainfluenza virus, adenovirus, and other pathogens (mycoplasma, chlamydia and legionella pneumophila) by real-time RT­PCR. Routine bacterial and fungal examinations were also performed by conventional microbial culture.",Y,Respiratory,221,Co-infection,17,,No,,,,,,,,,,,,,,,,,,,,,,,,some names listed but no numbers,64,,,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,7,moderate,Y,,
07/08/2020 0:41,"Li X, 2020",The Journal of allergy and clinical immunology,8693,26/01/2020,03/03/2020,China,Asia,Retrospective Cohort,Hospital,548,,60,Median,269,All combined,210,103,46,41,17,34,83,unspecified,unspecified,"""bacteremia""",N,Blood,548,Not-specified,42,,No,,,,,,,,,,,,,,,,,,,,,,,,,341,,,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,Yes,7,moderate,Y,,"IVIG 213, IFN alpha neb 168"
07/08/2020 0:53,"Chaudhary W, 2020",The American journal of tropical medicine and hygiene,8845,not specified,not specified,Brunei,Asia,Retrospective Cohort,Hospital,141,Specifically looking at co-infection rates,,not reported,,All patients,,,,,,,,unspecified,unspecified,"Primary respiratory bacterial coinfections at different stages of illness, blood/sputum",Y,Respiratory and Blood,141,Co-infection,5,,Yes,,,2,1,,1,,1,,,1,,,,,,,,,,,1,,Enterobacter gergoviae and Rothia mucilaginosa,,,,No or unclear,Yes,No or unclear,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,3,high,Y,,
07/08/2020 1:04,"Ferguson J, 2020",Emerging infectious diseases,8917,13/03/2020,02/05/2020,United States,North America,Retrospective Cohort,Hospital,72,,60.4,Median,34,All patients,13,13,21,,3,7,20,unspecified,unspecified,"VAP, HAP, BSI",Y,Respiratory and Blood,72,Secondary Infection,,7,No,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Y,,
11/08/2020 2:06,"Zachariah P, 2020",JAMA Pediatrics,9210,01/03/2020,15/04/2020,United States,North America,Case Series,Hospital,50,Paediatric (infants were defined as patients younger than 12 months and adolescents as patients ages 11 through 21 years),11.5,"Age, median (range): Non-severe = 9 y (6 d-21 y) Severe14 y (8 y-19 y)",23,All combined,,9,,,2,,3,unspecified,unspecified,"Bacterial coinfections during hospitalization included bacteremia (3 [6%]), suspected bacterial pneumonia (9 [18%]), urinary tract infections (5 [10%]), skin and soft tissue infections (3 [6%]), and streptococcus pharyngitis (1 [2%]) - ONLY REPORTED THE BACTEREMIA",N,Blood,50,Co-infection,3,,Yes,,,2,,,,,1,,,,1,,,,,,,,,,,,e faecalis =1,,1,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Y,,"8 ""immunosuppression"""
30/07/2020 0:56,"Borobia AM, 2020",Journal of Clinical Medicine,16356,25/02/2020,19/04/2020,Spain,Europe,Retrospective Cohort,Hospital,2226,,61,median,1152,All Patients,109,,,157,296,429,381,unspecified,unspecified,,N,Respiratory,2226,Not-specified,64,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes~,,
17/06/2021 14:45,"Balkhair A, 2021",International Journal of Infectious Diseases,16498,01/04/2020,14/06/2020,Oman,Middle East,Prospective Cohort,Hospital,69,2/3 on anakinra,50.5,weighted average of both groups,17,Severe,16,20,,,,,28,unspecified,unspecified,,N,Blood,69,Secondary Infection,,9,Yes,,,,,,,,,,,,,8,,,,,,,,,1,,"CNST=8, brevibacterium=1",41,1,68,Yes,Yes,No or unclear,No or unclear,Yes,No or unclear,Yes,No or unclear,Yes,Yes,6,moderate,Yes,,anakinra=45
07/05/2021 21:32,"Fisler G, 2020",Ann. Intensive Care,16533,01/02/2020,20/06/2020,United States,North America,Retrospective Cohort,Hospital,77,Pediatrics/Neonatal,9.5,Mean/Average,40,All combined,,15,30,,,,5,unspecified,unspecified,No details are provided,N,Respiratory,77,Secondary Infection,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,
27/05/2021 20:45,"Schmidt M, 2020",Intensive Care Med,16590,25/02/2020,04/05/2020,"France, Belgium and Switzerland",Europe,Prospective Cohort,Hospital ICU,4244,,63,Median,1085,Critical,2233,2635,4244,176,,,1167,specified,culture,"Clinical suspicion of ventilator-associated pneumonia was confrmed before antibiotics either by quantitative distal bronchoalveolar lavage cultures growing?10e4 cfu/mL, blind protected specimen brush distal growing?10e3 cfu/mL, or endotracheal aspirates growing?106 cfu/mL.",N,Respiratory,4244,Secondary Infection,208,1209,No,,,,,,,,,,,,,,,,,,,,,,,,,888,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,Y CoI= 208,
10/06/2021 15:45,"DiNisio M, 2021",European Journal of Internal Medicine,16658,28/03/2020,21/04/2020,Italy,Europe,Retrospective Cohort,Hospital,70,,60,Median,29,All combined,,30,,9,13,6,17,unspecified,unspecified,,N,Unclear,70,Secondary Infection,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,47,70,68,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,
23/05/2021 15:31,"Razazi K, 2020",Critical Care,16715,01/10/2009,29/04/2020,France,Europe,Retrospective Cohort,Hospital ICU,90,ICU patients with ARDS,59,Median,16,Critical,90,90,90,25,9,,39,specified,Culture (for blood and sputum); urinary antigen for L pneumophilia or pneumococcal (resp infection),". All suspected VAP were confrmed from quantitative cultures of lower respiratory tract secretions sampled before administering new antibiotics using a blinded protected telescope catheter [12] or bronchoscopy (103 and 104 colony forming units/mL for protected telescope catheter and bronchoalveolar lavage, respectively). VAP onset was defned as the day on which the lung sample tested positive. Te secondary endpoints were the diference in occurrence of bacterial coinfection at ICU admission, putative invasive
pulmonary aspergillosis, and multi-drug-resistant bacteria (MDR) VAP.

Bacterial coinfection at ICU admission was evidenced by the detection of bacteria in the sputum or in blood samples, in the absence of other sources of infection, or by a positive pneumococcal or L. pneumophila serotype 1 urinary antigen test.",Y,Respiratory,90,Secondary Infection,14,56,Yes,0,0,2,2,0,0,16,4,10,1,23,1,,2,,3,1,2,,4,3,,,"Acinetobacter spp (1), Burkholderia cepacia (1), Stenotrophomonas maltophilia (3), Enterobacter spp (23), Citrobacter spp (2), Hafnia (2), Proteus spp (4), serratia (1), other strep 2, SA=2, E faecalis=1... CoI Enterobacter=1, Kleb=1, Citrobacter=1, Hafnia=2, PsA=3, Burk=1, Spna=1, other strep=1, MRSA=3, Branhamella cat=2",35,7,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,9,low,Yes,Y CoI= 14,
23/05/2021 1:11,"Nori P, 2021",Infection Control & Hospital Epidemiology,16719,01/03/2020,18/04/2020,United States,North America,Retrospective Cohort,Hospital,4267,PCR positive SARS-COV2 patients with respiratory or bloodstream coinfections,,,,All combined,,,,,,,,specified,culture,"positive blood or respiratory culture (by matrix-assisted
laser desorption/ionization) were analyzed",Y,Respiratory and Blood,152,Co-infection,152,,Yes,0,0,96,,0,,27,16,11,,14,11,19,,,,,16,,,,,,"CNST=19, Enterobacter 14, Enterococcus spp 11, strreptococcs 16",,,,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,6,moderate,Yes,,
28/05/2021 0:23,"Mendizabal M, 2021",Annals of hepatology,16890,15/04/2020,31/07/2020,11 Latin American countries,South and Central America,Prospective Cohort,Hospital,1611,,52.3,Mean/Average,680,All combined,660,292,370,,95,108,286,unspecified,unspecified,,N,Unclear,1611,Co-infection,319,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,180,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,
07/06/2021 18:31,"Falcone M, 2021",J Antimicrob Chemother,16927,04/03/2020,30/04/2020,Italy,Europe,Prospective Cohort,Hospital,315,,69,Mean/Average,105,All combined,,123,85,,49,103,64,specified,culture,"Gram staining and a rapid identification protocol were performed on positive blood cultures and other biological samples, as previously reported. MALDI-TOF (Bruker Daltonics) was used for species identification. The presence of a bla gene was determined by PCR using GeneXpert System (Cepheid), as previously reported. Antimicrobial susceptibility tests were performed with the Tecan automated system (Tecan Trading AG, Switzerland) according to the manufacturer's instructions. MICs were classifed according to breakpoints established by EUCAST (v10.0).",Y,Respiratory and Blood,315,Secondary Infection,,69,Yes,,,5,,2,,5,20,9,3,2,,4,2,,2,,,,,,1,,"Citrobacter fruendii 2 episodes; A. baumanii (3), Enterobacter (2), S. maltophilia (2), CoNS (4), C. freundii (2) C. striatum (2). Also there were 16 episodes of polymicrobial infections.",141,51,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,low,Yes,,JAK inhibitors included in the IL-6 group under immunomodulatory treatment
09/06/2021 2:58,"Townsend L, 2020",JAC Antimicrob Resist,17131,01/03/2020,30/04/2020,Ireland,Europe,Retrospective Cohort,Hospital,117,,66,Median,43,All combined,,,34,,,,,specified,blood and sputum culture; urinary antigen for pneumococcus and Legionella,"The rate of diagnostic microbiological sampling was recorded. This included sputum culture (either self-expectorated or endotracheal aspirate), blood cultures and urinary antigen testing for Streptococcus pneumoniae and Legionella pneumophila. Bronchoalveolar lavage was not carried out on SARS-CoV-2-positive patients at our institution",N,Respiratory and Blood,117,Not-specified,7,,Yes,0,0,1,1,0,0,1,2,2,,,,,,,,,,,,,,,I did not include the positive cultures for patients on abx for other indications. I also did not included the candidemia. Note all specimens reported here are either sputum culture or urinary antigen (for S pneumo),,,84,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,9,low,Yes,,
10/06/2021 20:03,"Balena F, 2020",Journal of Gerontology and Geriatrics,17179,01/03/2020,15/06/2020,Italy,Europe,Case Series of equal or more than 50 patients,Hospital,206,Older adults,80,Median,108,All combined,,72,,,46,92,50,unspecified,unspecified,,Y,Unclear,206,Secondary Infection,,24,No,,,,,,,,,,,,,,,,,,,,,,,,,42,16,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,
